,tc_code,domain,kingdom_phylum,des_short,des_long,dir,tcat,cot,rev,chebi,bigg,rid,rstrings
738,1.B.12.4.7,Bacteria,Pseudomonadota,"Vacuolating Autotransporter-1, Vat (1376 aas; protease; pertactin-like passenger domain; virulence factor)","Vacuolating Autotransporter-1, Vat (1376 aas; protease; pertactin-like passenger domain; virulence factor)",{'uptake'},,,,{},{},R_1_B_12_4_7,{}
739,1.B.12.5.1,Bacteria,Pseudomonadota,Autoexporter of serine protease,Autoexporter of serine protease,{'secretion'},,,,{'64926': 'serine protease inhibitor'},{'64926': set()},R_1_B_12_5_1,{'64926': set()}
740,1.B.12.5.2,Bacteria,Pseudomonadota,"The Azorhizobial autotransporter AoaA, required for N- fixing activity of stem nodules (Suzuki et al., 2008).","The Azorhizobial autotransporter AoaA, required for N- fixing activity of stem nodules (Suzuki et al., 2008).",{'uptake'},,,,{},{},R_1_B_12_5_2,{}
741,1.B.12.5.3,Bacteria,Pseudomonadota,"The cytotoxin/agglutinin AT-1 protein, Pta (Alamuri and Mobley, 2008).","The cytotoxin/agglutinin AT-1 protein, Pta (Alamuri and Mobley, 2008).",{'uptake'},,,,{},{},R_1_B_12_5_3,{}
742,1.B.12.5.4,Bacteria,Pseudomonadota,"Autotransporter-1, ShdA (2035 aas) (Kingsley et al., 2003).","Autotransporter-1, ShdA (2035 aas) (Kingsley et al., 2003).",{'uptake'},,,,{},{},R_1_B_12_5_4,{}
743,1.B.12.5.5,Bacteria,Pseudomonadota,"Autotransporter-1, BigA (1953 aas) (Lauri et al","Autotransporter-1, BigA (1953 aas) (Lauri et al. 2011).",{'uptake'},,,,{},{},R_1_B_12_5_5,{}
744,1.B.12.5.6,Bacteria,Pseudomonadota,"Autotransporter essential for virulence and biofilm formation of 1242 aas, Pfa1","Autotransporter essential for virulence and biofilm formation of 1242 aas, Pfa1.  The passenger domain is a serine protease, cytotoxic to cultured fish cells (Hu et al. 2009).",{'uptake'},,,,{},{},R_1_B_12_5_6,{}
745,1.B.12.5.7,Bacteria,Pseudomonadota,Putative autotransporter of 886 aas,Putative autotransporter of 886 aas,{'uptake'},,,,{},{},R_1_B_12_5_7,{}
746,1.B.12.5.8,Bacteria,Pseudomonadota,Autotransporter of 1128 aas,Autotransporter of 1128 aas,{'uptake'},,,,{},{},R_1_B_12_5_8,{}
747,1.B.12.5.9,Bacteria,Pseudomonadota,"Autoexporter of lipase/esterase, EstA","Autoexporter of lipase/esterase, EstA",{'secretion'},,,,{},{},R_1_B_12_5_9,{}
748,1.B.12.5.10,Bacteria,Pseudomonadota,"Autotransporter, YapE of 1072 aas (Lawrenz et al","Autotransporter, YapE of 1072 aas (Lawrenz et al. 2013).",{'uptake'},,,,{},{},R_1_B_12_5_10,{}
749,1.B.12.5.11,Bacteria,Pseudomonadota,Autotransporter outer membrane beta-barrel domain-containing protein of 2358 aa,Autotransporter outer membrane beta-barrel domain-containing protein of 2358 aa,{'uptake'},,,,{},{},R_1_B_12_5_11,{}
750,1.B.12.7.1,Bacteria,Campylobacterota,Autoexporter of Helicobacter  surface ring protein,Autoexporter of Helicobacter  surface ring protein,{'secretion'},,,,{},{},R_1_B_12_7_1,{}
751,1.B.12.8.1,Bacteria,Pseudomonadota,Putative autotransporter of 736 aas,Putative autotransporter of 736 aas,{'uptake'},,,,{},{},R_1_B_12_8_1,{}
752,1.B.12.8.2,Bacteria,Pseudomonadota,Fluffing protein (Flu) or antigen-43 (Ag-43; Ag43; also called YeeQ and YzzX),"Fluffing protein (Flu) or antigen-43 (Ag-43; Ag43; also called YeeQ and YzzX). Processed proteolytically to the α- (soluble) and β- (membrane anchored) subunits; determines colony morphology and autoaggregation of E. coli K12 and many pathogenic strains (Henderson et al., 1997; Klemm et al. 2006).  May function in autotransporter processing.",{'uptake'},,,,{},{},R_1_B_12_8_2,{}
753,1.B.12.8.3,Bacteria,Pseudomonadota,"Autotransporter-1, TibA (989 aas; an Adhesin/Invasin associated with some enterotoxigenic E","Autotransporter-1, TibA (989 aas; an Adhesin/Invasin associated with some enterotoxigenic E. coli) (Lindenthal and Elsinghorst et al., 1999; Klemm et al. 2006Klemm et al. 2006).",{'uptake'},,,,{},{},R_1_B_12_8_3,{}
754,1.B.12.9.1,Bacteria,Pseudomonadota,Autotransporter of N-terminal protease passenger domain that cleaves surface-localized virulence factors,"Autotransporter of N-terminal protease passenger domain that cleaves surface-localized virulence factors.  The 3-d structure is known (Oomen et al., 2004). The crystal structure of the NalP translocator domain revealed a 12 β-stranded transmembrane beta-barrel containing a central alpha-helix. The transmembrane beta-barrel is stable even in the absence of the alpha-helix. Removal of the helix results in an influx of water into the pore region, suggesting the helix acts as a 'plug' (Khalid and Sansom 2006). The dimensions of the pore fluctuate, but the NalP monomer is sufficient for the transport of the passenger domain in an unfolded or extended conformation (Khalid and Sansom 2006). NalP is subject to phase variation (Oldfield et al. 2013).",{'uptake'},,,,"{'5585': 'water', '25367': 'molecule'}","{'5585': {'h2o'}, '25367': set()}",R_1_B_12_9_1,"{'5585': set(), '25367': set()}"
755,1.B.12.9.2,Bacteria,Pseudomonadota,"The serine protease autotransporter, SphB1","The serine protease autotransporter, SphB1",{'uptake'},,,,{'64926': 'serine protease inhibitor'},{'64926': set()},R_1_B_12_9_2,{'64926': set()}
756,1.B.12.10.1,Bacteria,Campylobacterota,"The Campylobacter adhesion protein, CapA (Ashgar et al., 2007)","The Campylobacter adhesion protein, CapA (Ashgar et al., 2007)",{'uptake'},,,,{},{},R_1_B_12_10_1,{}
757,1.B.12.11.1,Bacteria,Pseudomonadota,"The outer membrane acid phosphatase autotransporter, MapA (940 aas) (Hoopman et al., 2008)","The outer membrane acid phosphatase autotransporter, MapA (940 aas) (Hoopman et al., 2008)",{'uptake'},,,,{},{},R_1_B_12_11_1,{}
758,1.B.12.12.1,Bacteria,Pseudomonadota,"The acidic repeat AT protein, ARP (1441 aas) (Litwin et al., 2007) (shows N-terminal sequence similarity to 1.B.12.2.3 and C-terminal similarity to 1.B.12.8.2).","The acidic repeat AT protein, ARP (1441 aas) (Litwin et al., 2007) (shows N-terminal sequence similarity to 1.B.12.2.3 and C-terminal similarity to 1.B.12.8.2).",{'uptake'},,,,{},{},R_1_B_12_12_1,{}
759,1.B.12.12.4,Bacteria,Planctomycetota,Uncharacterized opacity protein or related surface antigen of 398 aas and 1 N-terminal TMS.,Uncharacterized opacity protein or related surface antigen of 398 aas and 1 N-terminal TMS.,{'uptake'},,,,{'25367': 'molecule'},{'25367': set()},R_1_B_12_12_4,{'25367': set()}
760,1.B.12.13.1,Bacteria,Pseudomonadota,"Surface antigen, Sca2; required for intracellular actin based motility in Rickettsia (Kleba et al., 2010).","Surface antigen, Sca2; required for intracellular actin based motility in Rickettsia (Kleba et al., 2010).",{'uptake'},,,,{},{},R_1_B_12_13_1,{}
761,1.B.12.13.2,Bacteria,Pseudomonadota,"Autotransporter, OmpA","Autotransporter, OmpA",{'uptake'},,,,{},{},R_1_B_12_13_2,{}
762,1.B.12.13.3,Bacteria,Pseudomonadota,"Autotransporter, OmpB","Autotransporter, OmpB",{'uptake'},,,,{},{},R_1_B_12_13_3,{}
763,1.B.13.1.1,Bacteria,Pseudomonadota,"Alginate export porin, AEP or AlgE (Rehm et al","Alginate export porin, AEP or AlgE (Rehm et al. 1994).  A monomeric 18 stranded beta-barrel that is part of a multicomponent, two membrane, envelope-spanning complex that includes AlgK, AlgX and Alg44 (Rehman and Rehm 2013).",{'secretion'},,,,{'271': 'alginic acid'},{'271': set()},R_1_B_13_1_1,{'271': set()}
764,1.B.13.1.2,Bacteria,Pseudomonadota,"Porin, AlgE (AlgJ)","Porin, AlgE (AlgJ)",{'uptake'},,,,{'271': 'alginic acid'},{'271': set()},R_1_B_13_1_2,{'271': set()}
765,1.B.13.1.3,Bacteria,Pseudomonadota,Putative porin,Putative porin,{'uptake'},,,,{'25367': 'molecule'},{'25367': set()},R_1_B_13_1_3,{'25367': set()}
766,1.B.13.1.4,Bacteria,Aquificota,Putative porin,Putative porin,{'uptake'},,,,{'25367': 'molecule'},{'25367': set()},R_1_B_13_1_4,{'25367': set()}
767,1.B.13.1.5,Bacteria,Campylobacterota,Putative porin,Putative porin,{'uptake'},,,,{'25367': 'molecule'},{'25367': set()},R_1_B_13_1_5,{'25367': set()}
768,1.B.13.1.6,Bacteria,Pseudomonadota,Putative porin,Putative porin,{'uptake'},,,,{'25367': 'molecule'},{'25367': set()},R_1_B_13_1_6,{'25367': set()}
769,1.B.13.1.7,Bacteria,Pseudomonadota,Alginate export porin of 460 aas,"Alginate export porin of 460 aas.  May also export neutral lipids such as triacylglycerols, wax esters, and polyhydroxyalkanoates (Manilla-Pérez et al. 2010).",{'secretion'},,,,"{'10036': 'wax ester', '9664': 'triglyceride', '271': 'alginic acid', '53387': 'poly(hydroxyalkanoate)'}","{'10036': set(), '9664': set(), '271': set(), '53387': set()}",R_1_B_13_1_7,"{'10036': set(), '9664': set(), '271': set(), '53387': set()}"
770,1.B.13.2.1,Bacteria,Spirochaetota,Putative porin,Putative porin,{'uptake'},,,,{'25367': 'molecule'},{'25367': set()},R_1_B_13_2_1,{'25367': set()}
771,1.B.13.2.2,Bacteria,Spirochaetota,Putative porin of 536 aas,Putative porin of 536 aas,{'uptake'},,,,{'25367': 'molecule'},{'25367': set()},R_1_B_13_2_2,{'25367': set()}
772,1.B.13.3.1,Bacteria,Verrucomicrobiota,Putative porin,Putative porin,{'uptake'},,,,{'25367': 'molecule'},{'25367': set()},R_1_B_13_3_1,{'25367': set()}
773,1.B.13.3.2,Bacteria,Bacteroidota,Putative porin of 455 aas,Putative porin of 455 aas,{'uptake'},,,,{'25367': 'molecule'},{'25367': set()},R_1_B_13_3_2,{'25367': set()}
774,1.B.13.3.3,Bacteria,Acidobacteriota,Putative porin,Putative porin,{'uptake'},,,,{'25367': 'molecule'},{'25367': set()},R_1_B_13_3_3,{'25367': set()}
775,1.B.13.3.4,Bacteria,Pseudomonadota,Putative porin of 447 aas,Putative porin of 447 aas,{'uptake'},,,,{'25367': 'molecule'},{'25367': set()},R_1_B_13_3_4,{'25367': set()}
776,1.B.13.3.5,Bacteria,Spirochaetota,PF13372 domain protein of 609 aas,PF13372 domain protein of 609 aas,{'uptake'},,,,{'25367': 'molecule'},{'25367': set()},R_1_B_13_3_5,{'25367': set()}
777,1.B.14.1.1,Bacteria,Pseudomonadota,FhuE ferric-coprogen receptor of 729 aas and 1 N-terminal TMS,"FhuE ferric-coprogen receptor of 729 aas and 1 N-terminal TMS.  It is required for the uptake of Fe3+ via coprogen, ferrioxamine B, and rhodotorulic acid (Hantke 1983). The crystal structure of FhuE in complex with coprogen was determined, providing a structural basis 
to explain its selective promiscuity (Grinter and Lithgow 2019). The structural data, in 
combination with functional analysis, showed that FhuE has evolved to specifically engage with planar siderophores. A 
potential evolutionary driver, and a critical consequence of this 
selectivity, is that it allows FhuE to exclude antibiotics that mimic nonplanar hydroxamate siderophores.  These toxic molecules could otherwise cross the outer membrane barrier 
through a Trojan horse mechanism (Grinter and Lithgow 2019).",{'uptake'},,,,{},{},R_1_B_14_1_1,{}
778,1.B.14.1.2,Bacteria,Pseudomonadota,"FhuA ferrichrome (also albomycin and rifamycin; Colicin M; Microcin J25; Phage T5) receptor (transports phage T1, T5 and φ80 DNA across the outer membrane, dependent on DcrA (SdaC; TC #2.A.42.2.1) and DcrB) (Forms a complex with and acts with TonB and FhuD (the periplasmic binding receptor (3.A.1.14.3) to deliver siderophore to FhuD (Carter et al., 2006; Braun et al., 2009))","FhuA ferrichrome (also albomycin and rifamycin; Colicin M; Microcin J25; Phage T5) receptor (transports phage T1, T5 and φ80 DNA across the outer membrane, dependent on DcrA (SdaC; TC #2.A.42.2.1) and DcrB) (Forms a complex with and acts with TonB and FhuD (the periplasmic binding receptor (3.A.1.14.3) to deliver siderophore to FhuD (Carter et al., 2006; Braun et al., 2009)).  Deletion of the 160-residue cork domain and five large
extracellular loops converted this non-conductive, monomeric, 22-stranded beta-barrel
protein into a large-conductance protein pore (Wolfe et al. 2015). FhuA and its various applications indicate that it is a versatile building block to generate hybrid catalysts and materials (Sauer et al. 2023).",{'uptake'},,,,"{'5019': 'ferrichrome', '29673': 'rifamycin SV', '77879': 'elaiophylin'}","{'5019': set(), '29673': set(), '77879': set()}",R_1_B_14_1_2,"{'5019': set(), '29673': set(), '77879': set()}"
779,1.B.14.1.3,Bacteria,Pseudomonadota,"Ferric enterobactin (also ferricorynebactin) receptor, IroN","Ferric enterobactin (also ferricorynebactin) receptor, IroN",{'uptake'},,,,{'28199': 'ferrienterobactin(3-)'},{'28199': set()},R_1_B_14_1_3,{'28199': set()}
780,1.B.14.1.4,Bacteria,Pseudomonadota,CirA Fe3+-catecholate receptor,"CirA Fe3+-catecholate receptor. Serves as the receptor for the TonB- and proton-dependent uptake of the E. coli bacteriocin, Microcin L (MccL) (Morin et al., 2011). CirA is also the translocator for colicin Ia (Jakes and Finkelstein, 2010). Plays roles in cefiderocol and ceftazidime resistance (Ito et al. 2018).",{'uptake'},,,,{},{},R_1_B_14_1_4,{}
781,1.B.14.1.5,Bacteria,Pseudomonadota,PfeA ferric enterobactin receptor,PfeA ferric enterobactin receptor,{'uptake'},,,,{'28199': 'ferrienterobactin(3-)'},{'28199': set()},R_1_B_14_1_5,{'28199': set()}
782,1.B.14.1.6,Bacteria,Pseudomonadota,"Ferripyoverdine/pyocin S3 receptor, FpvA (Adams et al., 2006; Nader et al., 2007; Schalk et al., 2009; Nader et al., 2011)","Ferripyoverdine/pyocin S3 receptor, FpvA (Adams et al., 2006; Nader et al., 2007; Schalk et al., 2009; Nader et al., 2011)",{'uptake'},,,,{},{},R_1_B_14_1_6,{}
783,1.B.14.1.7,Bacteria,Pseudomonadota,"Iron malleobactin receptor, FmtA (Alice et al., 2006)","Iron malleobactin receptor, FmtA (Alice et al., 2006)",{'uptake'},,,,{},{},R_1_B_14_1_7,{}
784,1.B.14.1.8,Bacteria,Pseudomonadota,"The Ferripyochelin receptor, FptA (Michel et al., 2007)","The Ferripyochelin receptor, FptA (Michel et al., 2007).  In addition to Fe3+, FptA takes up Co2+, Ga3+, and Ni2+ at low rates (Braud et al., 2009). The high resolution 3-d structure of FptA (2.0 Å) bound to iron-pyochelin has been solved (Cobessi et al. 2005). The pyochelin molecule provides atetra-dentate coordination of iron. The structure is typical of the TonB-dependent receptor/transporter superfamily.",{'uptake'},,,,{'25517': 'nickel(2+)'},{'25517': {'ni2'}},R_1_B_14_1_8,{'25517': set()}
785,1.B.14.1.9,Bacteria,Pseudomonadota,"Ferric-catecholate siderophore (dihydroxybenzoylserine, dihydroxybenzoate) uptake receptor, Fiu or YbiL (Hantke, 1990; Curtis et al., 1988)","Ferric-catecholate siderophore (dihydroxybenzoylserine, dihydroxybenzoate) uptake receptor, Fiu or YbiL (Hantke, 1990; Curtis et al., 1988).  Plays roles in cefiderocol and ceftazidime resistance (Ito et al. 2018). It can also transport catechol-substituted cephalosporins and is a receptor for microcins M, H47 and E492 (Patzer et al. 2003; Destoumieux-Garzón et al. 2006).",{'uptake'},,,,{'36084': 'dihydroxybenzoate'},{'36084': {'34dhbz'}},R_1_B_14_1_9,{'36084': set()}
786,1.B.14.1.10,Bacteria,Pseudomonadota,"The outer membrane ferrioxamine/desferrioxamine receptor, FoxA(1) (most like TC# 1.B.14.1.4 and 9) (Wei et al., 2007)","The outer membrane ferrioxamine/desferrioxamine receptor, FoxA(1) (most like TC# 1.B.14.1.4 and 9) (Wei et al., 2007)",{'uptake'},,,,"{'5044': 'ferrioxamine B', '4356': 'desferrioxamine B'}","{'5044': set(), '4356': set()}",R_1_B_14_1_10,"{'5044': set(), '4356': set()}"
787,1.B.14.1.11,Bacteria,Pseudomonadota,"The outer membrane ferric-anguibactin receptor/transporter, FatA (Lopez and Crosa, 2007)","The outer membrane ferric-anguibactin receptor/transporter, FatA (Lopez and Crosa, 2007)",{'uptake'},,,,{'84734': 'Fe(III)-complexed siderophore'},{'84734': set()},R_1_B_14_1_11,{'84734': set()}
788,1.B.14.1.12,Bacteria,Pseudomonadota,"FecA ferric-citrate receptor (PA3901) (Marshall et al., 2009) (62% identical to the E","FecA ferric-citrate receptor (PA3901) (Marshall et al., 2009) (62% identical to the E. coli FecA).",{'uptake'},,,,{'84734': 'Fe(III)-complexed siderophore'},{'84734': set()},R_1_B_14_1_12,{'84734': set()}
789,1.B.14.1.13,Bacteria,Campylobacterota,"CfrA ferric receptor (Carswell et al., 2008).","CfrA ferric receptor (Carswell et al., 2008).",{'uptake'},,,,{'34755': 'iron(3+)'},{'34755': {'fe3'}},R_1_B_14_1_13,{'34755': set()}
790,1.B.14.1.14,Bacteria,Pseudomonadota,Ferric-pseudobactin 358 receptor,Ferric-pseudobactin 358 receptor,{'uptake'},,,,{'84734': 'Fe(III)-complexed siderophore'},{'84734': set()},R_1_B_14_1_14,{'84734': set()}
791,1.B.14.1.15,Bacteria,Pseudomonadota,Ferrichrome receptor FcuA,Ferrichrome receptor FcuA,{'uptake'},,,,{'5019': 'ferrichrome'},{'5019': set()},R_1_B_14_1_15,{'5019': set()}
792,1.B.14.1.16,Bacteria,Pseudomonadota,Probable TonB-dependent receptor BfrD (Virulence-associated outer membrane protein Vir-90),Probable TonB-dependent receptor BfrD (Virulence-associated outer membrane protein Vir-90),{'uptake'},,,,{'25367': 'molecule'},{'25367': set()},R_1_B_14_1_16,{'25367': set()}
793,1.B.14.1.17,Bacteria,Pseudomonadota,"Ferrioxamine receptor, FoxA","Ferrioxamine receptor, FoxA.  Transports a variety of Ferrioxamine B analogues (Kornreich-Leshem et al. 2005).",{'uptake'},,,,{'4356': 'desferrioxamine B'},{'4356': set()},R_1_B_14_1_17,{'4356': set()}
794,1.B.14.1.18,Bacteria,Myxococcota,TonB-dependent receptor (Bhat et al,TonB-dependent receptor (Bhat et al. 2011).,{'uptake'},,,,{'25367': 'molecule'},{'25367': set()},R_1_B_14_1_18,{'25367': set()}
795,1.B.14.1.19,Bacteria,Myxococcota,TonB-dependent receptor,TonB-dependent receptor,{'uptake'},,,,{'25367': 'molecule'},{'25367': set()},R_1_B_14_1_19,{'25367': set()}
796,1.B.14.1.20,Bacteria,Pseudomonadota,"The iron-citrate receptor/transporter, FecA","The iron-citrate receptor/transporter, FecA.   TonB mediates both signaling and transport by unfolding portions of the transporter (Mokdad et al. 2012). The ferric citrate regulator, FecR, is translocated across the bacterial inner membrane via a unique Twin-arginine transport dependent mechanism (Passmore et al. 2020).",{'uptake'},,,,{'84734': 'Fe(III)-complexed siderophore'},{'84734': set()},R_1_B_14_1_20,{'84734': set()}
797,1.B.14.1.21,Bacteria,Pseudomonadota,Ferrioxamine receptor,Ferrioxamine receptor,{'uptake'},,,,{'5044': 'ferrioxamine B'},{'5044': set()},R_1_B_14_1_21,{'5044': set()}
798,1.B.14.1.22,Bacteria,Pseudomonadota,"FepA ferri-enterobactin (also Colicins B and D) receptor for the 37 aas disulfide-containing K+ channel toxin, BgK (Braud et al., 2004)","FepA ferri-enterobactin (also Colicins B and D) receptor for the 37 aas disulfide-containing K+ channel toxin, BgK (Braud et al., 2004). Functions by a ""ball and chain"" mechanism; The transport process involves expulsion of the N-terminal globular domain from the C-terminal beta-barrel (Ma et al. 2007). Conformational rearrangements occur in the N-terminus of FepA during FeEnt transport, but disengagement of the N-domain, out of the rigid channel suggests that it remains within the transmembrane pore as FeEnt enters the periplasm (Majumdar et al. 2020).",{'uptake'},,,,"{'8345': 'potassium(1+)', '28199': 'ferrienterobactin(3-)'}","{'8345': {'k'}, '28199': set()}",R_1_B_14_1_22,"{'8345': set(), '28199': set()}"
799,1.B.14.1.23,Bacteria,Myxococcota,OMR of 938 aas,OMR of 938 aas,{'uptake'},,,,{'25367': 'molecule'},{'25367': set()},R_1_B_14_1_23,{'25367': set()}
800,1.B.14.1.24,Bacteria,Pseudomonadota,"Putative TonB-dependent siderophore receptor, Sde_3611","Putative TonB-dependent siderophore receptor, Sde_3611",{'uptake'},,,,{},{},R_1_B_14_1_24,{}
801,1.B.14.1.25,Bacteria,Campylobacterota,Nickel uptake receptor/channel of 724 aas (Benoit et al,Nickel uptake receptor/channel of 724 aas (Benoit et al. 2013).,{'uptake'},,,,{'25517': 'nickel(2+)'},{'25517': {'ni2'}},R_1_B_14_1_25,{'25517': set()}
802,1.B.14.1.26,Bacteria,Pseudomonadota,"Iron siderophore (ferripyoverdine) receptor and importer, FpvA of 808 aas (Ye et al","Iron siderophore (ferripyoverdine) receptor and importer, FpvA of 808 aas (Ye et al. 2014). The crystal structure of FpvA has been solved at 3.6 Å resolution. It is folded in two domains: a transmembrane 22-stranded beta-barrel domain occluded by an N-terminal domain containing a mixed four-stranded beta-sheet (the plug). The beta-strands of the barrel are connected by long extracellular loops and short periplasmic turns (Cobessi et al. 2005).",{'uptake'},,,,{},{},R_1_B_14_1_26,{}
803,1.B.14.1.27,Bacteria,Campylobacterota,"Iron(III) dicitrate transport protein, FecA1: iron dicitrate uptake receptor of 767 aas","Iron(III) dicitrate transport protein, FecA1: iron dicitrate uptake receptor of 767 aas.  Regulated by the ferric uptake regulator transcription factor, Fur (van Vliet et al. 2002) in response to iron availability (Danielli et al. 2009). Involved in  iron deficiency anemia in children (Kato et al. 2017).",{'uptake'},,,,"{'29034': 'iron(3+)', '50744': 'citrate salt'}","{'29034': {'fe3'}, '50744': set()}",R_1_B_14_1_27,"{'29034': set(), '50744': set()}"
804,1.B.14.1.28,Bacteria,Campylobacterota,FecA3 of 843 aas,"FecA3 of 843 aas.  Probable receptor for nickel.  Shows 50% identiy with TC# 1.B.14.1.27. Repressed by nickel in the medium, mediated by NikR (Danielli et al. 2009). NikR seems to interact in an asymmetric mode with the fecA3 target to repress its transcription (Romagnoli et al. 2011).",{'uptake'},,,,{},{},R_1_B_14_1_28,{}
805,1.B.14.1.29,Bacteria,Cyanobacteriota,"Iron-deficiency-induced (2x) iron siderophore uptake outer membrane receptor, FhuA, of 828 aas and 1 N-terminal TMS (Qiu et al","Iron-deficiency-induced (2x) iron siderophore uptake outer membrane receptor, FhuA, of 828 aas and 1 N-terminal TMS (Qiu et al. 2018).",{'uptake'},,,,{'84734': 'Fe(III)-complexed siderophore'},{'84734': set()},R_1_B_14_1_29,{'84734': set()}
806,1.B.14.1.30,Bacteria,Cyanobacteriota,"Outer membrand iron siderophore uptake receptor of 853 aas and 1 N-terminal TMS, Slr1490.","Outer membrand iron siderophore uptake receptor of 853 aas and 1 N-terminal TMS, Slr1490.",{'uptake'},,,,{'84734': 'Fe(III)-complexed siderophore'},{'84734': set()},R_1_B_14_1_30,{'84734': set()}
807,1.B.14.1.31,Bacteria,Pseudomonadota,"Outer membrane porin, PiuA, of 753 aas","Outer membrane porin, PiuA, of 753 aas.  A deficiency of this iron transporter, PiuA in P. aeruginosa, caused 16-fold increases in cefiderocol resistance, suggesting that it contribute to the permeation of cefiderocol into the cell (Ito et al. 2018).",{'uptake'},,,,{'23066': 'cephalosporin'},{'23066': set()},R_1_B_14_1_31,{'23066': set()}
808,1.B.14.1.32,Bacteria,Pseudomonadota,"Catechol iron-siderophore uptake system, IrgA, an iron-regulated outer membrane virulence protein, of 652 aas and 1 N-terminal TMS (Wyckoff et al","Catechol iron-siderophore uptake system, IrgA, an iron-regulated outer membrane virulence protein, of 652 aas and 1 N-terminal TMS (Wyckoff et al. 2015). It is involved in the initial step of iron uptake by 
binding ferric vibriobactin, an iron chelatin siderophore that allows 
V. cholerae to extract iron from the environment and takes up linear enterobactin derivatives (Wyckoff et al. 2015).",{'uptake'},,,,{},{},R_1_B_14_1_32,{}
809,1.B.14.1.33,Bacteria,Bacteroidota,"Heme/hemin outer membrane TonB-related receptor of 708 aas, Tlr (Slakeski et al","Heme/hemin outer membrane TonB-related receptor of 708 aas, Tlr (Slakeski et al. 2000).",{'uptake'},,,,"{'5651': 'ferroheme b', '50385': 'hemin'}","{'5651': {'pheme'}, '50385': set()}",R_1_B_14_1_33,"{'5651': set(), '50385': set()}"
810,1.B.14.2.1,Bacteria,Pseudomonadota,HmbR Hemoglobin receptor,HmbR Hemoglobin receptor,{'uptake'},,,,{'5656': 'deoxyhemoglobin'},{'5656': set()},R_1_B_14_2_1,{'5656': set()}
811,1.B.14.2.2,Bacteria,Pseudomonadota,HemR Heme (Hemin) receptor,HemR Heme (Hemin) receptor,{'uptake'},,,,{'5651': 'ferroheme b'},{'5651': {'pheme'}},R_1_B_14_2_2,{'5651': set()}
812,1.B.14.2.3,Bacteria,Pseudomonadota,HpuAB hemoglobin-haptoglobin receptor; porphyrin transporter (HpuA=lipoprotein; HpuB=OMR porin),HpuAB hemoglobin-haptoglobin receptor; porphyrin transporter (HpuA=lipoprotein; HpuB=OMR porin).  Surface exposed loops in the gonococcal HpuB transporter are important for hemoglobin binding and utilization (Awate et al. 2023).,{'uptake'},,,,{},{},R_1_B_14_2_3,{}
813,1.B.14.2.4,Bacteria,Pseudomonadota,"Lactoferrin receptor (A=OMR porin; B=lipoprotein), LbpAB or IroAB","Lactoferrin receptor (A=OMR porin; B=lipoprotein), LbpAB or IroAB. This two-component system extracts iron from the host glycoproteins lactoferrin and transferrin. Homologous iron-transport systems consist of a membrane-bound
 transporter and an accessory lipoprotein. The 
crystal structure of the N-terminal domain (N-lobe) of the accessory 
lipoprotein, lactoferrin-binding protein B (LbpB) is homologous 
to the structures of the accessory lipoproteins, 
transferrin-binding protein B (TbpB) and LbpB from the bovine pathogen 
Moraxella bovis. Docking the LbpB  with lactoferrin reveals 
extensive binding interactions with the N1 subdomain of lactoferrin. The
 nature of the interaction precludes apolactoferrin from binding LbpB, 
ensuring the specificity for iron-loaded lactoferrin, safeguarding proper delivery of iron-bound lactoferrin to the 
transporter LbpA. The structure also 
reveals a possible secondary role for LbpB in protecting the bacteria from host defences. Following 
proteolytic digestion of lactoferrin, a cationic peptide derived from 
the N-terminus is released. This peptide, called lactoferricin, exhibits
 potent antimicrobial effects. The docked model of LbpB with lactoferrin
 reveals that LbpB interacts extensively with the N-terminal 
lactoferricin region (Brooks et al. 2014).",{'uptake'},,,,{},{},R_1_B_14_2_4,{}
814,1.B.14.2.5,Bacteria,Pseudomonadota,TbpA single component transferrin receptor,TbpA single component transferrin receptor,{'uptake'},,,,{'2786': 'Apotransferrin'},{'2786': {'apotfen'}},R_1_B_14_2_5,{'2786': set()}
815,1.B.14.2.6,Bacteria,Pseudomonadota,HugA heme receptor/porin,HugA heme receptor/porin,{'uptake'},,,,{'5651': 'ferroheme b'},{'5651': {'pheme'}},R_1_B_14_2_6,{'5651': set()}
816,1.B.14.2.7,Bacteria,Pseudomonadota,"Hemin (Heme)-binding receptor, ShmR (also transports the toxic heme analog, gallium protoporphyrin) (Amarelle et al., 2008).","Hemin (Heme)-binding receptor, ShmR (also transports the toxic heme analog, gallium protoporphyrin) (Amarelle et al., 2008).",{'uptake'},,,,{'5651': 'ferroheme b'},{'5651': {'pheme'}},R_1_B_14_2_7,{'5651': set()}
817,1.B.14.2.8,Bacteria,Pseudomonadota,"The heme-iron (from hemin and hemoglobin) utilization receptor, BhuR (Brickman et al., 2006; Vanderpool and Armstrong, 2004).","The heme-iron (from hemin and hemoglobin) utilization receptor, BhuR (Brickman et al., 2006; Vanderpool and Armstrong, 2004).",{'uptake'},,,,"{'5656': 'deoxyhemoglobin', '24493': 'hemin'}","{'5656': set(), '24493': set()}",R_1_B_14_2_8,"{'5656': set(), '24493': set()}"
818,1.B.14.2.9,Bacteria,Pseudomonadota,Probable TonB-dependent receptor NMB0964,Probable TonB-dependent receptor NMB0964,{'uptake'},,,,{},{},R_1_B_14_2_9,{}
